counter,red_count,blue_count,total_count,average_radiation_level,total_radiation_level
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,1.0,1
162,0,0,0,2.0,2
163,0,0,0,3.0,3
164,0,0,0,4.0,4
165,0,0,0,5.0,5
166,0,0,0,6.0,6
167,0,0,0,7.0,7
168,0,0,0,8.0,8
169,0,0,0,9.0,9
170,0,0,0,10.0,10
171,0,0,0,11.0,11
172,0,0,0,12.0,12
173,0,0,0,13.0,13
174,0,0,0,14.0,14
175,0,0,0,15.0,15
176,0,0,0,16.0,16
177,0,0,0,17.0,17
178,0,0,0,18.0,18
179,0,0,0,19.0,19
180,0,0,0,20.0,20
181,0,0,0,21.0,21
182,0,0,0,22.0,22
183,0,0,0,23.0,23
184,0,0,0,24.0,24
185,0,0,0,25.0,25
186,0,0,0,26.0,26
187,0,0,0,27.0,27
188,0,0,0,28.0,28
189,0,0,0,29.0,29
190,0,0,0,30.0,30
191,0,0,0,31.0,31
192,0,0,0,32.0,32
193,0,0,0,33.0,33
194,0,0,0,34.0,34
195,0,0,0,35.0,35
196,0,0,0,36.0,36
197,0,0,0,37.0,37
198,0,0,0,38.0,38
199,0,0,0,39.0,39
200,0,0,0,40.0,40
201,0,0,0,41.0,41
202,0,0,0,42.0,42
203,0,0,0,43.0,43
204,0,0,0,44.0,44
205,0,0,0,45.0,45
206,0,0,0,46.0,46
207,0,0,0,47.0,47
208,0,0,0,48.0,48
209,0,0,0,49.0,49
210,0,0,0,50.0,50
211,0,0,0,51.0,51
212,0,0,0,52.0,52
213,0,0,0,53.0,53
214,0,0,0,54.0,54
215,0,0,0,55.0,55
216,0,0,0,56.0,56
217,0,0,0,57.0,57
218,0,0,0,58.0,58
219,0,0,0,59.0,59
220,0,0,0,60.0,60
221,0,0,0,61.0,61
222,0,0,0,62.0,62
223,0,0,0,63.0,63
224,0,0,0,64.0,64
225,0,0,0,65.0,65
226,0,0,0,66.0,66
227,0,0,0,67.0,67
228,0,0,0,68.0,68
229,0,0,0,69.0,69
230,0,0,0,70.0,70
231,0,0,0,71.0,71
232,0,0,0,72.0,72
233,0,0,0,73.0,73
234,0,0,0,74.0,74
235,0,0,0,75.0,75
236,0,0,0,76.0,76
237,0,0,0,77.0,77
238,0,0,0,78.0,78
239,0,0,0,79.0,79
240,0,0,0,80.0,80
241,0,0,0,81.0,81
242,0,0,0,82.0,82
243,0,0,0,83.0,83
244,0,0,0,84.0,84
245,0,0,0,85.0,85
246,0,0,0,86.0,86
247,0,0,0,87.0,87
248,0,0,0,88.0,88
249,0,0,0,89.0,89
250,1,0,1,90.0,90
251,1,0,1,90.0,90
252,1,0,1,90.0,90
253,1,0,1,90.0,90
254,1,0,1,90.0,90
255,1,0,1,90.0,90
256,1,0,1,90.0,90
257,1,0,1,90.0,90
258,1,0,1,90.0,90
259,1,0,1,90.0,90
260,1,0,1,90.0,90
261,1,0,1,90.0,90
262,1,0,1,90.0,90
263,1,0,1,90.0,90
264,1,0,1,90.0,90
265,1,0,1,90.0,90
266,1,0,1,90.0,90
267,1,0,1,90.0,90
268,1,0,1,90.0,90
269,1,0,1,90.0,90
270,1,0,1,90.0,90
271,1,0,1,90.0,90
272,1,0,1,90.0,90
273,1,0,1,90.0,90
274,1,0,1,90.0,90
275,1,0,1,90.0,90
276,1,0,1,90.0,90
277,1,0,1,90.0,90
278,1,0,1,90.0,90
279,1,0,1,90.0,90
280,1,0,1,90.0,90
281,1,0,1,90.0,90
282,1,0,1,90.0,90
283,1,0,1,90.0,90
284,1,0,1,90.0,90
285,1,0,1,90.0,90
286,1,0,1,90.0,90
287,1,0,1,90.0,90
288,1,0,1,90.0,90
289,1,0,1,90.0,90
290,1,0,1,90.0,90
291,1,0,1,90.0,90
292,1,0,1,90.0,90
293,1,0,1,90.0,90
294,1,0,1,90.0,90
295,1,0,1,90.0,90
296,1,0,1,90.0,90
297,1,0,1,90.0,90
298,1,0,1,90.0,90
299,1,0,1,90.0,90
300,1,0,1,90.0,90
301,1,0,1,90.0,90
302,1,0,1,90.0,90
303,1,0,1,90.0,90
304,1,0,1,90.0,90
305,1,0,1,90.0,90
306,1,0,1,90.0,90
307,1,0,1,90.0,90
308,1,0,1,90.0,90
309,1,0,1,90.0,90
310,1,0,1,90.0,90
311,1,0,1,90.0,90
312,1,0,1,90.0,90
313,1,0,1,90.0,90
314,1,0,1,90.0,90
315,1,0,1,90.0,90
316,1,0,1,90.0,90
317,1,0,1,90.0,90
318,1,0,1,90.0,90
319,1,0,1,90.0,90
320,1,0,1,90.0,90
